Cshunt,Ls2,W,Cs,Lp,DCPowerConsumption,S11,S22,PowerGain,DrainEfficiency,PAE,PSAT
1e-13,1.5e-10,1.7e-05,6.2e-13,2e-10,0.0264,-7.156,-9.487,10.49,45.43,33.69,9.981
1e-13,1.5e-10,1.7e-05,6.2e-13,1e-10,0.0264,-3.619,-2.553,8.994,20.64,14.04,7.972
1e-13,1.5e-10,1.7e-05,6.2e-13,1.2e-10,0.0264,-4.006,-4.199,10.16,28.17,20.72,8.901
1e-13,1.5e-10,1.7e-05,6.2e-13,1.4e-10,0.0264,-4.653,-6.159,10.67,34.68,26.34,9.421
1e-13,1.5e-10,1.7e-05,6.2e-13,1.6e-10,0.0264,-5.462,-8.033,10.77,39.72,30.38,9.72
1e-13,1.5e-10,1.7e-05,6.2e-13,1.8e-10,0.0264,-6.323,-9.24,10.68,43.24,32.74,9.89
1e-13,1.5e-10,1.7e-05,6.2e-13,2.2e-10,0.0264,-7.913,-9.065,10.28,46.58,33.68,10.02
1e-13,1.5e-10,1.7e-05,6.2e-13,2.4e-10,0.0264,-8.573,-8.405,10.06,46.96,33.13,10.03
1e-13,1.5e-10,1.7e-05,6.2e-13,2.6e-10,0.0264,-9.131,-7.74,9.861,46.83,32.35,10.02
1e-13,1.5e-10,1.7e-05,6.2e-13,2.8e-10,0.0264,-9.594,-7.15,9.673,46.38,31.83,9.993
1e-13,1.5e-10,1.7e-05,6.2e-13,3e-10,0.0264,-9.972,-6.648,9.502,45.76,31.2,9.961
1e-13,1.5e-10,1.7e-05,6.4e-13,2e-10,0.0264,-7.134,-9.533,10.5,45.4,33.68,9.974
1e-13,1.5e-10,1.7e-05,6.4e-13,1e-10,0.0264,-3.612,-2.54,8.983,20.55,13.97,7.957
1e-13,1.5e-10,1.7e-05,6.4e-13,1.2e-10,0.0264,-3.993,-4.181,10.16,28.07,20.63,8.889
1e-13,1.5e-10,1.7e-05,6.4e-13,1.4e-10,0.0264,-4.636,-6.141,10.67,34.58,26.27,9.411
1e-13,1.5e-10,1.7e-05,6.4e-13,1.6e-10,0.0264,-5.44,-8.029,10.78,39.63,30.33,9.711
1e-13,1.5e-10,1.7e-05,6.4e-13,1.8e-10,0.0264,-6.3,-9.263,10.69,43.18,32.71,9.882
1e-13,1.5e-10,1.7e-05,6.4e-13,2.2e-10,0.0264,-7.894,-9.119,10.29,46.56,33.69,10.02
1e-13,1.5e-10,1.7e-05,6.4e-13,2.4e-10,0.0264,-8.557,-8.457,10.07,46.97,33.15,10.03
1e-13,1.5e-10,1.7e-05,6.4e-13,2.6e-10,0.0264,-9.119,-7.787,9.872,46.85,32.36,10.01
1e-13,1.5e-10,1.7e-05,6.4e-13,2.8e-10,0.0264,-9.585,-7.192,9.684,46.42,31.84,9.99
1e-13,1.5e-10,1.7e-05,6.4e-13,3e-10,0.0264,-9.967,-6.685,9.512,45.8,31.22,9.958
1e-13,1.5e-10,1.7e-05,6.6e-13,2e-10,0.0264,-7.114,-9.576,10.51,45.36,33.67,9.968
1e-13,1.5e-10,1.7e-05,6.6e-13,1e-10,0.0264,-3.604,-2.528,8.973,20.47,13.91,7.943
1e-13,1.5e-10,1.7e-05,6.6e-13,1.2e-10,0.0264,-3.981,-4.163,10.16,27.98,20.56,8.877
1e-13,1.5e-10,1.7e-05,6.6e-13,1.4e-10,0.0264,-4.619,-6.124,10.67,34.48,26.2,9.401
1e-13,1.5e-10,1.7e-05,6.6e-13,1.6e-10,0.0264,-5.42,-8.025,10.79,39.55,30.27,9.702
1e-13,1.5e-10,1.7e-05,6.6e-13,1.8e-10,0.0264,-6.279,-9.285,10.69,43.12,32.68,9.875
1e-13,1.5e-10,1.7e-05,6.6e-13,2.2e-10,0.0264,-7.875,-9.171,10.3,46.55,33.69,10.01
1e-13,1.5e-10,1.7e-05,6.6e-13,2.4e-10,0.0264,-8.541,-8.507,10.08,46.97,33.16,10.02
1e-13,1.5e-10,1.7e-05,6.6e-13,2.6e-10,0.0264,-9.107,-7.832,9.882,46.87,32.38,10.01
1e-13,1.5e-10,1.7e-05,6.6e-13,2.8e-10,0.0264,-9.577,-7.231,9.694,46.45,31.85,9.987
1e-13,1.5e-10,1.7e-05,6.6e-13,3e-10,0.0264,-9.963,-6.719,9.522,45.84,31.23,9.955
1e-13,1.5e-10,1.7e-05,6.8e-13,2e-10,0.0264,-7.095,-9.618,10.52,45.33,33.67,9.963
1e-13,1.5e-10,1.7e-05,6.8e-13,1e-10,0.0264,-3.598,-2.516,8.964,20.4,13.84,7.929
1e-13,1.5e-10,1.7e-05,6.8e-13,1.2e-10,0.0264,-3.97,-4.147,10.16,27.89,20.48,8.865
1e-13,1.5e-10,1.7e-05,6.8e-13,1.4e-10,0.0264,-4.603,-6.108,10.68,34.4,26.13,9.391
1e-13,1.5e-10,1.7e-05,6.8e-13,1.6e-10,0.0264,-5.402,-8.021,10.79,39.48,30.22,9.694
1e-13,1.5e-10,1.7e-05,6.8e-13,1.8e-10,0.0264,-6.259,-9.305,10.7,43.07,32.65,9.868
1e-13,1.5e-10,1.7e-05,6.8e-13,2.2e-10,0.0264,-7.858,-9.219,10.31,46.54,33.7,10.01
1e-13,1.5e-10,1.7e-05,6.8e-13,2.4e-10,0.0264,-8.527,-8.554,10.09,46.98,33.17,10.02
1e-13,1.5e-10,1.7e-05,6.8e-13,2.6e-10,0.0264,-9.096,-7.874,9.892,46.89,32.4,10.01
1e-13,1.5e-10,1.7e-05,6.8e-13,2.8e-10,0.0264,-9.57,-7.268,9.704,46.47,31.86,9.984
1e-13,1.5e-10,1.7e-05,6.8e-13,3e-10,0.0264,-9.959,-6.752,9.532,45.87,31.25,9.952
1e-13,1.5e-10,1.7e-05,7e-13,2e-10,0.0264,-7.077,-9.657,10.53,45.3,33.66,9.957
1e-13,1.5e-10,1.7e-05,7e-13,1e-10,0.0264,-3.591,-2.505,8.955,20.32,13.78,7.916
1e-13,1.5e-10,1.7e-05,7e-13,1.2e-10,0.0264,-3.959,-4.131,10.15,27.8,20.42,8.855
1e-13,1.5e-10,1.7e-05,7e-13,1.4e-10,0.0264,-4.588,-6.093,10.68,34.31,26.06,9.382
1e-13,1.5e-10,1.7e-05,7e-13,1.6e-10,0.0264,-5.384,-8.018,10.8,39.41,30.17,9.687
1e-13,1.5e-10,1.7e-05,7e-13,1.8e-10,0.0264,-6.241,-9.324,10.71,43.02,32.62,9.862
1e-13,1.5e-10,1.7e-05,7e-13,2.2e-10,0.0264,-7.842,-9.266,10.32,46.53,33.7,10.0
1e-13,1.5e-10,1.7e-05,7e-13,2.4e-10,0.0264,-8.513,-8.598,10.1,46.98,33.19,10.01
1e-13,1.5e-10,1.7e-05,7e-13,2.6e-10,0.0264,-9.085,-7.914,9.901,46.91,32.41,10.0
