C1,W,Lg,Ls,VGS,Bandwidth,DCPowerConsumption,S11,NoiseFigure,PowerGain
2e-13,2.5e-06,5.2e-09,1.75e-10,0.6333,4731000000,0.00042,-10.63,1.634,5.139
2e-13,2.5e-06,5.2e-09,1.75e-10,0.7667,5411000000,0.001022,-9.131,1.635,5.853
2e-13,2.5e-06,5.2e-09,2e-10,0.9,6129000000,0.001699,-7.618,1.651,5.19
2e-13,2.5e-06,5.2e-09,2e-10,0.5,3195000000,7.55e-05,-13.57,1.73,0.7239
2e-13,2.5e-06,5.2e-09,2e-10,0.6333,5086000000,0.00042,-9.35,1.636,4.509
2e-13,2.5e-06,5.2e-09,2e-10,0.7667,5906000000,0.001022,-7.929,1.632,5.129
2e-13,2.5e-06,4e-09,1e-10,0.9,5189000000,0.001699,-17.19,1.695,7.468
2e-13,2.5e-06,4e-09,1e-10,0.5,0,7.55e-05,-8.898,1.789,1.371
2e-13,2.5e-06,4e-09,1e-10,0.6333,4528000000,0.00042,-29.47,1.667,6.41
2e-13,2.5e-06,4e-09,1e-10,0.7667,5128000000,0.001022,-14.39,1.675,7.283
2e-13,2.5e-06,4e-09,1.25e-10,0.9,5860000000,0.001699,-12.59,1.692,6.468
2e-13,2.5e-06,4e-09,1.25e-10,0.5,0,7.55e-05,-10.91,1.779,1.012
2e-13,2.5e-06,4e-09,1.25e-10,0.6333,5030000000,0.00042,-18.19,1.664,5.545
2e-13,2.5e-06,4e-09,1.25e-10,0.7667,5721000000,0.001022,-11.78,1.677,6.343
2e-13,2.5e-06,4e-09,1.5e-10,0.9,6541000000,0.001699,-10.11,1.691,5.567
2e-13,2.5e-06,4e-09,1.5e-10,0.5,0,7.55e-05,-13.33,1.77,0.6511
2e-13,2.5e-06,4e-09,1.5e-10,0.6333,5540000000,0.00042,-13.85,1.661,4.751
2e-13,2.5e-06,4e-09,1.5e-10,0.7667,6334000000,0.001022,-9.982,1.68,5.482
2e-13,2.5e-06,4e-09,1.75e-10,0.9,7227000000,0.001699,-8.492,1.691,4.754
2e-13,2.5e-06,4e-09,1.75e-10,0.5,0,7.55e-05,-16.42,1.763,0.2901
2e-13,2.5e-06,4e-09,1.75e-10,0.6333,6064000000,0.00042,-11.36,1.66,4.017
2e-13,2.5e-06,4e-09,1.75e-10,0.7667,6973000000,0.001022,-8.571,1.675,4.691
2e-13,2.5e-06,4e-09,2e-10,0.9,7871000000,0.001699,-7.34,1.693,4.037
2e-13,2.5e-06,4e-09,2e-10,0.6333,6592000000,0.00042,-9.685,1.66,3.336
2e-13,2.5e-06,4e-09,2e-10,0.7667,7624000000,0.001022,-7.484,1.671,3.959
2e-13,2.5e-06,4.22e-09,1e-10,0.9,5020000000,0.001699,-15.15,1.684,7.62
