Wn,Wvar,C,L1,L2,DCPowerConsumption,OscillationFrequency,TuningRange,OutputPower,PhaseNoise
3e-05,6e-06,7e-13,3.5e-10,1e-10,0.0699,32900000000.0,985000000.0,11.17,-85.27
3e-05,6e-06,7e-13,3.5e-10,5e-11,0.0699,32900000000.0,982000000.0,11.17,-77.83
3e-05,6e-06,7e-13,3.5e-10,1.5e-10,0.0699,32900000000.0,983000000.0,11.17,-84.97
3e-05,6e-06,7e-13,3.5e-10,2e-10,0.0699,32900000000.0,980000000.0,11.17,-84.81
3e-05,6e-06,7e-13,4.5e-10,1e-10,0.0699,29900000000.0,849000000.0,11.78,-82.41
3e-05,6e-06,7e-13,4.5e-10,5e-11,0.0699,29900000000.0,847000000.0,11.78,-82.36
3e-05,6e-06,7e-13,4.5e-10,1.5e-10,0.0699,29900000000.0,849000000.0,11.78,-82.77
3e-05,6e-06,7e-13,4.5e-10,2e-10,0.0699,29900000000.0,850000000.0,11.78,-82.4
3e-05,6e-06,7e-13,4.5e-10,2.5e-10,0.0699,29900000000.0,849000000.0,11.78,-82.44
3e-05,6e-06,7e-13,5e-10,1e-10,0.0699,28800000000.0,806000000.0,12.02,-81.3
3e-05,6e-06,7e-13,5e-10,5e-11,0.0699,28800000000.0,802000000.0,12.02,-81.72
3e-05,6e-06,7e-13,5e-10,1.5e-10,0.0699,28800000000.0,797000000.0,12.02,-81.63
3e-05,6e-06,7e-13,5e-10,2e-10,0.0699,28800000000.0,803000000.0,12.02,-81.43
3e-05,7e-06,5e-13,4e-10,1e-10,0.0699,31000000000.0,1010000000.0,11.53,-83.42
3e-05,7e-06,5e-13,4e-10,5e-11,0.0699,31000000000.0,1010000000.0,11.53,-83.65
3e-05,7e-06,5e-13,4e-10,1.5e-10,0.0699,31000000000.0,1010000000.0,11.53,-83.38
3e-05,7e-06,5e-13,4e-10,2e-10,0.0699,31000000000.0,1010000000.0,11.53,-83.49
3e-05,7e-06,5e-13,4e-10,2.5e-10,0.0699,31000000000.0,1010000000.0,11.53,-83.26
3e-05,7e-06,5e-13,3e-10,1e-10,0.0699,34800000000.0,1210000000.0,10.83,-87.65
3e-05,7e-06,5e-13,3e-10,5e-11,0.0699,34800000000.0,1210000000.0,10.83,-87.78
3e-05,7e-06,5e-13,3e-10,1.5e-10,0.0699,34800000000.0,1210000000.0,10.83,-87.85
3e-05,7e-06,5e-13,3e-10,2e-10,0.0699,34800000000.0,1210000000.0,10.83,-87.56
3e-05,7e-06,5e-13,3e-10,2.5e-10,0.0699,34800000000.0,1210000000.0,10.83,-87.39
3e-05,7e-06,5e-13,3.5e-10,1e-10,0.0699,32700000000.0,1090000000.0,11.21,-84.58
3e-05,7e-06,5e-13,3.5e-10,5e-11,0.0699,32700000000.0,1090000000.0,11.21,-84.51
3e-05,7e-06,5e-13,3.5e-10,1.5e-10,0.0699,32700000000.0,1090000000.0,11.21,-84.79
3e-05,7e-06,5e-13,3.5e-10,2e-10,0.0699,32700000000.0,1100000000.0,11.2,-84.93
3e-05,7e-06,5e-13,3.5e-10,2.5e-10,0.0699,32700000000.0,1100000000.0,11.2,-83.76
3e-05,7e-06,5e-13,4.5e-10,1e-10,0.0699,29700000000.0,946000000.0,11.81,-82.5
3e-05,7e-06,5e-13,4.5e-10,5e-11,0.0699,29700000000.0,946000000.0,11.81,-82.56
3e-05,7e-06,5e-13,4.5e-10,1.5e-10,0.0699,29700000000.0,948000000.0,11.81,-82.71
3e-05,7e-06,5e-13,4.5e-10,2e-10,0.0699,29700000000.0,945000000.0,11.81,-81.98
3e-05,7e-06,5e-13,4.5e-10,2.5e-10,0.0699,29700000000.0,946000000.0,11.81,-82.24
3e-05,7e-06,5e-13,5e-10,1e-10,0.0699,28600000000.0,895000000.0,12.04,-81.59
3e-05,7e-06,5e-13,5e-10,5e-11,0.0699,28600000000.0,897000000.0,12.04,-81.5
3e-05,7e-06,5e-13,5e-10,1.5e-10,0.0699,28600000000.0,894000000.0,12.05,-81.3
3e-05,7e-06,5e-13,5e-10,2e-10,0.0699,28600000000.0,893000000.0,12.04,-81.57
3e-05,7e-06,5e-13,5e-10,2.5e-10,0.0699,28600000000.0,897000000.0,12.05,-81.56
3e-05,7e-06,3e-13,4e-10,1e-10,0.0699,31100000000.0,1010000000.0,11.53,-83.34
3e-05,7e-06,3e-13,4e-10,5e-11,0.0699,31100000000.0,1010000000.0,11.53,-83.27
3e-05,7e-06,3e-13,4e-10,1.5e-10,0.0699,31100000000.0,1010000000.0,11.53,-83.41
3e-05,7e-06,3e-13,4e-10,2e-10,0.0699,31100000000.0,1010000000.0,11.53,-83.44
3e-05,7e-06,3e-13,4e-10,2.5e-10,0.0699,31100000000.0,1010000000.0,11.53,-83.39
3e-05,7e-06,3e-13,3e-10,1e-10,0.0699,34800000000.0,1210000000.0,10.83,-87.57
3e-05,7e-06,3e-13,3e-10,5e-11,0.0699,34800000000.0,1220000000.0,10.83,-87.59
3e-05,7e-06,3e-13,3e-10,1.5e-10,0.0699,34800000000.0,1210000000.0,10.83,-84.99
